Id,Word,Value
102,arrow,0000 0110 0110
103,art,0000 0110 0111
104,artefact,0000 0110 1000
105,artist,0000 0110 1001
106,artwork,0000 0110 1010
107,ask,0000 0110 1011
108,aspect,0000 0110 1100
109,assault,0000 0110 1101
110,asset,0000 0110 1110
111,assist,0000 0110 1111
112,assume,0000 0111 0000
113,asthma,0000 0111 0001
114,athlete,0000 0111 0010
115,atom,0000 0111 0011
116,attack,0000 0111 0100
117,attend,0000 0111 0101
118,attitude,0000 0111 0110
119,attract,0000 0111 0111
120,auction,0000 0111 1000
121,audit,0000 0111 1001
122,august,0000 0111 1010
123,aunt,0000 0111 1011
124,author,0000 0111 1100
125,auto,0000 0111 1101
126,autumn,0000 0111 1110
127,average,0000 0111 1111
128,avocado,0000 1000 0000
129,avoid,0000 1000 0001
130,awake,0000 1000 0010
131,aware,0000 1000 0011
132,away,0000 1000 0100
133,awesome,0000 1000 0101
134,awful,0000 1000 0110
135,awkward,0000 1000 0111
136,axis,0000 1000 1000
137,baby,0000 1000 1001
138,bachelor,0000 1000 1010
139,bacon,0000 1000 1011
140,badge,0000 1000 1100
141,bag,0000 1000 1101
142,balance,0000 1000 1110
143,balcony,0000 1000 1111
144,ball,0000 1001 0000
145,bamboo,0000 1001 0001
146,banana,0000 1001 0010
147,banner,0000 1001 0011
148,bar,0000 1001 0100
149,barely,0000 1001 0101
150,bargain,0000 1001 0110
151,barrel,0000 1001 0111
152,base,0000 1001 1000
153,basic,0000 1001 1001
154,basket,0000 1001 1010
155,battle,0000 1001 1011
156,beach,0000 1001 1100
157,bean,0000 1001 1101
158,beauty,0000 1001 1110
159,because,0000 1001 1111
160,become,0000 1010 0000
161,beef,0000 1010 0001
162,before,0000 1010 0010
163,begin,0000 1010 0011
164,behave,0000 1010 0100
165,behind,0000 1010 0101
166,believe,0000 1010 0110
167,below,0000 1010 0111
168,belt,0000 1010 1000
169,bench,0000 1010 1001
170,benefit,0000 1010 1010
171,best,0000 1010 1011
172,betray,0000 1010 1100
173,better,0000 1010 1101
174,between,0000 1010 1110
175,beyond,0000 1010 1111
176,bicycle,0000 1011 0000
177,bid,0000 1011 0001
178,bike,0000 1011 0010
179,bind,0000 1011 0011
180,biology,0000 1011 0100
181,bird,0000 1011 0101
182,birth,0000 1011 0110
183,bitter,0000 1011 0111
184,black,0000 1011 1000
185,blade,0000 1011 1001
186,blame,0000 1011 1010
187,blanket,0000 1011 1011
188,blast,0000 1011 1100
189,bleak,0000 1011 1101
190,bless,0000 1011 1110
191,blind,0000 1011 1111
192,blood,0000 1100 0000
193,blossom,0000 1100 0001
194,blouse,0000 1100 0010
195,blue,0000 1100 0011
196,blur,0000 1100 0100
197,blush,0000 1100 0101
198,board,0000 1100 0110
199,boat,0000 1100 0111
200,body,0000 1100 1000
201,boil,0000 1100 1001
202,bomb,0000 1100 1010
203,bone,0000 1100 1011
204,bonus,0000 1100 1100
205,book,0000 1100 1101
206,boost,0000 1100 1110
207,border,0000 1100 1111
208,boring,0000 1101 0000
209,borrow,0000 1101 0001
210,boss,0000 1101 0010
211,bottom,0000 1101 0011
212,bounce,0000 1101 0100
213,box,0000 1101 0101
214,boy,0000 1101 0110
215,bracket,0000 1101 0111
216,brain,0000 1101 1000
217,brand,0000 1101 1001
218,brass,0000 1101 1010
219,brave,0000 1101 1011
220,bread,0000 1101 1100
221,breeze,0000 1101 1101
222,brick,0000 1101 1110
223,bridge,0000 1101 1111
224,brief,0000 1110 0000
225,bright,0000 1110 0001
226,bring,0000 1110 0010
227,brisk,0000 1110 0011
228,broccoli,0000 1110 0100
229,broken,0000 1110 0101
230,bronze,0000 1110 0110
231,broom,0000 1110 0111
232,brother,0000 1110 1000
233,brown,0000 1110 1001
234,brush,0000 1110 1010
235,bubble,0000 1110 1011
236,buddy,0000 1110 1100
237,budget,0000 1110 1101
238,buffalo,0000 1110 1110
239,build,0000 1110 1111
240,bulb,0000 1111 0000
241,bulk,0000 1111 0001
242,bullet,0000 1111 0010
243,bundle,0000 1111 0011
244,bunker,0000 1111 0100
245,burden,0000 1111 0101
246,burger,0000 1111 0110
247,burst,0000 1111 0111
248,bus,0000 1111 1000
249,business,0000 1111 1001
250,busy,0000 1111 1010
251,butter,0000 1111 1011
252,buyer,0000 1111 1100
253,buzz,0000 1111 1101
254,cabbage,0000 1111 1110
255,cabin,0000 1111 1111
256,cable,0001 0000 0000
257,cactus,0001 0000 0001
258,cage,0001 0000 0010
259,cake,0001 0000 0011
260,call,0001 0000 0100
261,calm,0001 0000 0101
262,camera,0001 0000 0110
263,camp,0001 0000 0111
264,can,0001 0000 1000
265,canal,0001 0000 1001
266,cancel,0001 0000 1010
267,candy,0001 0000 1011
268,cannon,0001 0000 1100
269,canoe,0001 0000 1101
270,canvas,0001 0000 1110
271,canyon,0001 0000 1111
272,capable,0001 0001 0000
273,capital,0001 0001 0001
274,captain,0001 0001 0010
275,car,0001 0001 0011
276,carbon,0001 0001 0100
277,card,0001 0001 0101
278,cargo,0001 0001 0110
279,carpet,0001 0001 0111
280,carry,0001 0001 1000
281,cart,0001 0001 1001
282,case,0001 0001 1010
283,cash,0001 0001 1011
284,casino,0001 0001 1100
285,castle,0001 0001 1101
286,casual,0001 0001 1110
287,cat,0001 0001 1111
288,catalog,0001 0010 0000
289,catch,0001 0010 0001
290,category,0001 0010 0010
291,cattle,0001 0010 0011
292,caught,0001 0010 0100
293,cause,0001 0010 0101
294,caution,0001 0010 0110
295,cave,0001 0010 0111
296,ceiling,0001 0010 1000
297,celery,0001 0010 1001
298,cement,0001 0010 1010
299,census,0001 0010 1011
300,century,0001 0010 1100
301,cereal,0001 0010 1101
302,certain,0001 0010 1110
303,chair,0001 0010 1111
304,chalk,0001 0011 0000
305,champion,0001 0011 0001
306,change,0001 0011 0010
307,chaos,0001 0011 0011
308,chapter,0001 0011 0100
309,charge,0001 0011 0101
310,chase,0001 0011 0110
311,chat,0001 0011 0111
312,cheap,0001 0011 1000
313,check,0001 0011 1001
314,cheese,0001 0011 1010
315,chef,0001 0011 1011
316,cherry,0001 0011 1100
317,chest,0001 0011 1101
318,chicken,0001 0011 1110
319,chief,0001 0011 1111
320,child,0001 0100 0000
321,chimney,0001 0100 0001
322,choice,0001 0100 0010
323,choose,0001 0100 0011
324,chronic,0001 0100 0100
325,chuckle,0001 0100 0101
326,chunk,0001 0100 0110
327,churn,0001 0100 0111
328,cigar,0001 0100 1000
329,cinnamon,0001 0100 1001
330,circle,0001 0100 1010
331,citizen,0001 0100 1011
332,city,0001 0100 1100
333,civil,0001 0100 1101
334,claim,0001 0100 1110
335,clap,0001 0100 1111
336,clarify,0001 0101 0000
337,claw,0001 0101 0001
338,clay,0001 0101 0010
339,clean,0001 0101 0011
340,clerk,0001 0101 0100
341,clever,0001 0101 0101
342,click,0001 0101 0110
343,client,0001 0101 0111
344,cliff,0001 0101 1000
345,climb,0001 0101 1001
346,clinic,0001 0101 1010
347,clip,0001 0101 1011
348,clock,0001 0101 1100
349,clog,0001 0101 1101
350,close,0001 0101 1110
351,cloth,0001 0101 1111
352,cloud,0001 0110 0000
353,clown,0001 0110 0001
354,club,0001 0110 0010
355,clump,0001 0110 0011
356,cluster,0001 0110 0100
357,clutch,0001 0110 0101
358,coach,0001 0110 0110
359,coast,0001 0110 0111
360,coconut,0001 0110 1000
361,code,0001 0110 1001
362,coffee,0001 0110 1010
363,coil,0001 0110 1011
364,coin,0001 0110 1100
365,collect,0001 0110 1101
366,color,0001 0110 1110
367,column,0001 0110 1111
368,combine,0001 0111 0000
369,come,0001 0111 0001
370,comfort,0001 0111 0010
371,comic,0001 0111 0011
372,common,0001 0111 0100
373,company,0001 0111 0101
374,concert,0001 0111 0110
375,conduct,0001 0111 0111
376,confirm,0001 0111 1000
377,congress,0001 0111 1001
378,connect,0001 0111 1010
379,consider,0001 0111 1011
380,control,0001 0111 1100
381,convince,0001 0111 1101
382,cook,0001 0111 1110
383,cool,0001 0111 1111
384,copper,0001 1000 0000
385,copy,0001 1000 0001
386,coral,0001 1000 0010
387,core,0001 1000 0011
388,corn,0001 1000 0100
389,correct,0001 1000 0101
390,cost,0001 1000 0110
391,cotton,0001 1000 0111
392,couch,0001 1000 1000
393,country,0001 1000 1001
394,couple,0001 1000 1010
395,course,0001 1000 1011
396,cousin,0001 1000 1100
397,cover,0001 1000 1101
398,coyote,0001 1000 1110
399,crack,0001 1000 1111
400,cradle,0001 1001 0000
401,craft,0001 1001 0001
402,cram,0001 1001 0010
403,crane,0001 1001 0011
404,crash,0001 1001 0100
405,crater,0001 1001 0101
406,crawl,0001 1001 0110
407,crazy,0001 1001 0111
408,cream,0001 1001 1000
409,credit,0001 1001 1001
410,creek,0001 1001 1010
411,crew,0001 1001 1011
412,cricket,0001 1001 1100
413,crime,0001 1001 1101
414,crisp,0001 1001 1110
415,critic,0001 1001 1111
416,crop,0001 1010 0000
417,cross,0001 1010 0001
418,crouch,0001 1010 0010
419,crowd,0001 1010 0011
420,crucial,0001 1010 0100
421,cruel,0001 1010 0101
422,cruise,0001 1010 0110
423,crumble,0001 1010 0111
424,crunch,0001 1010 1000
425,crush,0001 1010 1001
426,cry,0001 1010 1010
427,crystal,0001 1010 1011
428,cube,0001 1010 1100
429,culture,0001 1010 1101
430,cup,0001 1010 1110
431,cupboard,0001 1010 1111
432,curious,0001 1011 0000
433,current,0001 1011 0001
434,curtain,0001 1011 0010
435,curve,0001 1011 0011
436,cushion,0001 1011 0100
437,custom,0001 1011 0101
438,cute,0001 1011 0110
439,cycle,0001 1011 0111
440,dad,0001 1011 1000
441,damage,0001 1011 1001
442,damp,0001 1011 1010
443,dance,0001 1011 1011
444,danger,0001 1011 1100
445,daring,0001 1011 1101
446,dash,0001 1011 1110
447,daughter,0001 1011 1111
448,dawn,0001 1100 0000
449,day,0001 1100 0001
450,deal,0001 1100 0010
451,debate,0001 1100 0011
452,debris,0001 1100 0100
453,decade,0001 1100 0101
454,december,0001 1100 0110
455,decide,0001 1100 0111
456,decline,0001 1100 1000
457,decorate,0001 1100 1001
458,decrease,0001 1100 1010
459,deer,0001 1100 1011
460,defense,0001 1100 1100
461,define,0001 1100 1101
462,defy,0001 1100 1110
463,degree,0001 1100 1111
464,delay,0001 1101 0000
465,deliver,0001 1101 0001
466,demand,0001 1101 0010
467,demise,0001 1101 0011
468,denial,0001 1101 0100
469,dentist,0001 1101 0101
470,deny,0001 1101 0110
471,depart,0001 1101 0111
472,depend,0001 1101 1000
473,deposit,0001 1101 1001
474,depth,0001 1101 1010
475,deputy,0001 1101 1011
476,derive,0001 1101 1100
477,describe,0001 1101 1101
478,desert,0001 1101 1110
479,design,0001 1101 1111
480,desk,0001 1110 0000
481,despair,0001 1110 0001
482,destroy,0001 1110 0010
483,detail,0001 1110 0011
484,detect,0001 1110 0100
485,develop,0001 1110 0101
486,device,0001 1110 0110
487,devote,0001 1110 0111
488,diagram,0001 1110 1000
489,dial,0001 1110 1001
490,diamond,0001 1110 1010
491,diary,0001 1110 1011
492,dice,0001 1110 1100
493,diesel,0001 1110 1101
494,diet,0001 1110 1110
495,differ,0001 1110 1111
496,digital,0001 1111 0000
497,dignity,0001 1111 0001
498,dilemma,0001 1111 0010
499,dinner,0001 1111 0011
500,dinosaur,0001 1111 0100
501,direct,0001 1111 0101
502,dirt,0001 1111 0110
503,disagree,0001 1111 0111
504,discover,0001 1111 1000
505,disease,0001 1111 1001
506,dish,0001 1111 1010
507,dismiss,0001 1111 1011
508,disorder,0001 1111 1100
509,display,0001 1111 1101
510,distance,0001 1111 1110
511,divert,0001 1111 1111
512,divide,0010 0000 0000
513,divorce,0010 0000 0001
514,dizzy,0010 0000 0010
515,doctor,0010 0000 0011
516,document,0010 0000 0100
517,dog,0010 0000 0101
518,doll,0010 0000 0110
519,dolphin,0010 0000 0111
520,domain,0010 0000 1000
521,donate,0010 0000 1001
522,donkey,0010 0000 1010
523,donor,0010 0000 1011
524,door,0010 0000 1100
525,dose,0010 0000 1101
526,double,0010 0000 1110
527,dove,0010 0000 1111
528,draft,0010 0001 0000
529,dragon,0010 0001 0001
530,drama,0010 0001 0010
531,drastic,0010 0001 0011
532,draw,0010 0001 0100
533,dream,0010 0001 0101
534,dress,0010 0001 0110
535,drift,0010 0001 0111
536,drill,0010 0001 1000
537,drink,0010 0001 1001
538,drip,0010 0001 1010
539,drive,0010 0001 1011
540,drop,0010 0001 1100
541,drum,0010 0001 1101
542,dry,0010 0001 1110
543,duck,0010 0001 1111
544,dumb,0010 0010 0000
545,dune,0010 0010 0001
546,during,0010 0010 0010
547,dust,0010 0010 0011
548,dutch,0010 0010 0100
549,duty,0010 0010 0101
550,dwarf,0010 0010 0110
551,dynamic,0010 0010 0111
552,eager,0010 0010 1000
553,eagle,0010 0010 1001
554,early,0010 0010 1010
555,earn,0010 0010 1011
556,earth,0010 0010 1100
557,easily,0010 0010 1101
558,east,0010 0010 1110
559,easy,0010 0010 1111
560,echo,0010 0011 0000
561,ecology,0010 0011 0001
562,economy,0010 0011 0010
563,edge,0010 0011 0011
564,edit,0010 0011 0100
565,educate,0010 0011 0101
566,effort,0010 0011 0110
567,egg,0010 0011 0111
568,eight,0010 0011 1000
569,either,0010 0011 1001
570,elbow,0010 0011 1010
571,elder,0010 0011 1011
572,electric,0010 0011 1100
573,elegant,0010 0011 1101
574,element,0010 0011 1110
575,elephant,0010 0011 1111
576,elevator,0010 0100 0000
577,elite,0010 0100 0001
578,else,0010 0100 0010
579,embark,0010 0100 0011
580,embody,0010 0100 0100
581,embrace,0010 0100 0101
582,emerge,0010 0100 0110
583,emotion,0010 0100 0111
584,employ,0010 0100 1000
585,empower,0010 0100 1001
586,empty,0010 0100 1010
587,enable,0010 0100 1011
588,enact,0010 0100 1100
589,end,0010 0100 1101
590,endless,0010 0100 1110
591,endorse,0010 0100 1111
592,enemy,0010 0101 0000
593,energy,0010 0101 0001
594,enforce,0010 0101 0010
595,engage,0010 0101 0011
596,engine,0010 0101 0100
597,enhance,0010 0101 0101
598,enjoy,0010 0101 0110
599,enlist,0010 0101 0111
600,enough,0010 0101 1000
601,enrich,0010 0101 1001
602,enroll,0010 0101 1010
603,ensure,0010 0101 1011
604,enter,0010 0101 1100
605,entire,0010 0101 1101
606,entry,0010 0101 1110
607,envelope,0010 0101 1111
608,episode,0010 0110 0000
609,equal,0010 0110 0001
610,equip,0010 0110 0010
611,era,0010 0110 0011
612,erase,0010 0110 0100
613,erode,0010 0110 0101
614,erosion,0010 0110 0110
615,error,0010 0110 0111
616,erupt,0010 0110 1000
617,escape,0010 0110 1001
618,essay,0010 0110 1010
619,essence,0010 0110 1011
620,estate,0010 0110 1100
621,eternal,0010 0110 1101
622,ethics,0010 0110 1110
623,evidence,0010 0110 1111
624,evil,0010 0111 0000
625,evoke,0010 0111 0001
626,evolve,0010 0111 0010
627,exact,0010 0111 0011
628,example,0010 0111 0100
629,excess,0010 0111 0101
630,exchange,0010 0111 0110
631,excite,0010 0111 0111
632,exclude,0010 0111 1000
633,excuse,0010 0111 1001
634,execute,0010 0111 1010
635,exercise,0010 0111 1011
636,exhaust,0010 0111 1100
637,exhibit,0010 0111 1101
638,exile,0010 0111 1110
639,exist,0010 0111 1111
640,exit,0010 1000 0000
641,exotic,0010 1000 0001
642,expand,0010 1000 0010
643,expect,0010 1000 0011
644,expire,0010 1000 0100
645,explain,0010 1000 0101
646,expose,0010 1000 0110
647,express,0010 1000 0111
648,extend,0010 1000 1000
649,extra,0010 1000 1001
650,eye,0010 1000 1010
651,eyebrow,0010 1000 1011
652,fabric,0010 1000 1100
653,face,0010 1000 1101
654,faculty,0010 1000 1110
655,fade,0010 1000 1111
656,faint,0010 1001 0000
657,faith,0010 1001 0001
658,fall,0010 1001 0010
659,false,0010 1001 0011
660,fame,0010 1001 0100
661,family,0010 1001 0101
662,famous,0010 1001 0110
663,fan,0010 1001 0111
664,fancy,0010 1001 1000
665,fantasy,0010 1001 1001
666,farm,0010 1001 1010
667,fashion,0010 1001 1011
668,fat,0010 1001 1100
669,fatal,0010 1001 1101
670,father,0010 1001 1110
671,fatigue,0010 1001 1111
672,fault,0010 1010 0000
673,favorite,0010 1010 0001
674,feature,0010 1010 0010
675,february,0010 1010 0011
676,federal,0010 1010 0100
677,fee,0010 1010 0101
678,feed,0010 1010 0110
679,feel,0010 1010 0111
680,female,0010 1010 1000
681,fence,0010 1010 1001
682,festival,0010 1010 1010
683,fetch,0010 1010 1011
684,fever,0010 1010 1100
685,few,0010 1010 1101
686,fiber,0010 1010 1110
687,fiction,0010 1010 1111
688,field,0010 1011 0000
689,figure,0010 1011 0001
690,file,0010 1011 0010
691,film,0010 1011 0011
692,filter,0010 1011 0100
693,final,0010 1011 0101
694,find,0010 1011 0110
695,fine,0010 1011 0111
696,finger,0010 1011 1000
697,finish,0010 1011 1001
698,fire,0010 1011 1010
699,firm,0010 1011 1011
700,first,0010 1011 1100
701,fiscal,0010 1011 1101
702,fish,0010 1011 1110
703,fit,0010 1011 1111
704,fitness,0010 1100 0000
705,fix,0010 1100 0001
706,flag,0010 1100 0010
707,flame,0010 1100 0011
708,flash,0010 1100 0100
709,flat,0010 1100 0101
710,flavor,0010 1100 0110
711,flee,0010 1100 0111
712,flight,0010 1100 1000
713,flip,0010 1100 1001
714,float,0010 1100 1010
715,flock,0010 1100 1011
716,floor,0010 1100 1100
717,flower,0010 1100 1101
718,fluid,0010 1100 1110
719,flush,0010 1100 1111
720,fly,0010 1101 0000
721,foam,0010 1101 0001
722,focus,0010 1101 0010
723,fog,0010 1101 0011
724,foil,0010 1101 0100
725,fold,0010 1101 0101
726,follow,0010 1101 0110
727,food,0010 1101 0111
728,foot,0010 1101 1000
729,force,0010 1101 1001
730,forest,0010 1101 1010
731,forget,0010 1101 1011
732,fork,0010 1101 1100
733,fortune,0010 1101 1101
734,forum,0010 1101 1110
735,forward,0010 1101 1111
736,fossil,0010 1110 0000
737,foster,0010 1110 0001
738,found,0010 1110 0010
739,fox,0010 1110 0011
740,fragile,0010 1110 0100
741,frame,0010 1110 0101
742,frequent,0010 1110 0110
743,fresh,0010 1110 0111
744,friend,0010 1110 1000
745,fringe,0010 1110 1001
746,frog,0010 1110 1010
747,front,0010 1110 1011
748,frost,0010 1110 1100
749,frown,0010 1110 1101
750,frozen,0010 1110 1110
751,fruit,0010 1110 1111
752,fuel,0010 1111 0000
753,fun,0010 1111 0001
754,funny,0010 1111 0010
755,furnace,0010 1111 0011
756,fury,0010 1111 0100
757,future,0010 1111 0101
758,gadget,0010 1111 0110
759,gain,0010 1111 0111
760,galaxy,0010 1111 1000
761,gallery,0010 1111 1001
762,game,0010 1111 1010
763,gap,0010 1111 1011
764,garage,0010 1111 1100
765,garbage,0010 1111 1101
766,garden,0010 1111 1110
767,garlic,0010 1111 1111
768,garment,0011 0000 0000
769,gas,0011 0000 0001
770,gasp,0011 0000 0010
771,gate,0011 0000 0011
772,gather,0011 0000 0100
773,gauge,0011 0000 0101
774,gaze,0011 0000 0110
775,general,0011 0000 0111
776,genius,0011 0000 1000
777,genre,0011 0000 1001
778,gentle,0011 0000 1010
779,genuine,0011 0000 1011
780,gesture,0011 0000 1100
781,ghost,0011 0000 1101
782,giant,0011 0000 1110
783,gift,0011 0000 1111
784,giggle,0011 0001 0000
785,ginger,0011 0001 0001
786,giraffe,0011 0001 0010
787,girl,0011 0001 0011
788,give,0011 0001 0100
789,glad,0011 0001 0101
790,glance,0011 0001 0110
791,glare,0011 0001 0111
792,glass,0011 0001 1000
793,glide,0011 0001 1001
794,glimpse,0011 0001 1010
795,globe,0011 0001 1011
796,gloom,0011 0001 1100
797,glory,0011 0001 1101
798,glove,0011 0001 1110
799,glow,0011 0001 1111
800,glue,0011 0010 0000
801,goat,0011 0010 0001
802,goddess,0011 0010 0010
803,gold,0011 0010 0011
804,good,0011 0010 0100
805,goose,0011 0010 0101
806,gorilla,0011 0010 0110
807,gospel,0011 0010 0111
808,gossip,0011 0010 1000
809,govern,0011 0010 1001
810,gown,0011 0010 1010
811,grab,0011 0010 1011
812,grace,0011 0010 1100
813,grain,0011 0010 1101
814,grant,0011 0010 1110
815,grape,0011 0010 1111
816,grass,0011 0011 0000
817,gravity,0011 0011 0001
818,great,0011 0011 0010
819,green,0011 0011 0011
820,grid,0011 0011 0100
821,grief,0011 0011 0101
822,grit,0011 0011 0110
823,grocery,0011 0011 0111
824,group,0011 0011 1000
825,grow,0011 0011 1001
826,grunt,0011 0011 1010
827,guard,0011 0011 1011
828,guess,0011 0011 1100
829,guide,0011 0011 1101
830,guilt,0011 0011 1110
831,guitar,0011 0011 1111
832,gun,0011 0100 0000
833,gym,0011 0100 0001
834,habit,0011 0100 0010
835,hair,0011 0100 0011
836,half,0011 0100 0100
837,hammer,0011 0100 0101
838,hamster,0011 0100 0110
839,hand,0011 0100 0111
840,happy,0011 0100 1000
841,harbor,0011 0100 1001
842,hard,0011 0100 1010
843,harsh,0011 0100 1011
844,harvest,0011 0100 1100
845,hat,0011 0100 1101
846,have,0011 0100 1110
847,hawk,0011 0100 1111
848,hazard,0011 0101 0000
849,head,0011 0101 0001
850,health,0011 0101 0010
851,heart,0011 0101 0011
852,heavy,0011 0101 0100
853,hedgehog,0011 0101 0101
854,height,0011 0101 0110
855,hello,0011 0101 0111
856,helmet,0011 0101 1000
857,help,0011 0101 1001
858,hen,0011 0101 1010
859,hero,0011 0101 1011
860,hidden,0011 0101 1100
861,high,0011 0101 1101
862,hill,0011 0101 1110
863,hint,0011 0101 1111
864,hip,0011 0110 0000
865,hire,0011 0110 0001
866,history,0011 0110 0010
867,hobby,0011 0110 0011
868,hockey,0011 0110 0100
869,hold,0011 0110 0101
870,hole,0011 0110 0110
871,holiday,0011 0110 0111
872,hollow,0011 0110 1000
873,home,0011 0110 1001
874,honey,0011 0110 1010
875,hood,0011 0110 1011
876,hope,0011 0110 1100
877,horn,0011 0110 1101
878,horror,0011 0110 1110
879,horse,0011 0110 1111
880,hospital,0011 0111 0000
881,host,0011 0111 0001
882,hotel,0011 0111 0010
883,hour,0011 0111 0011
884,hover,0011 0111 0100
885,hub,0011 0111 0101
886,huge,0011 0111 0110
887,human,0011 0111 0111
888,humble,0011 0111 1000
889,humor,0011 0111 1001
890,hundred,0011 0111 1010
891,hungry,0011 0111 1011
892,hunt,0011 0111 1100
893,hurdle,0011 0111 1101
894,hurry,0011 0111 1110
895,hurt,0011 0111 1111
896,husband,0011 1000 0000
897,hybrid,0011 1000 0001
898,ice,0011 1000 0010
899,icon,0011 1000 0011
900,idea,0011 1000 0100
901,identify,0011 1000 0101
902,idle,0011 1000 0110
903,ignore,0011 1000 0111
904,ill,0011 1000 1000
905,illegal,0011 1000 1001
906,illness,0011 1000 1010
907,image,0011 1000 1011
908,imitate,0011 1000 1100
909,immense,0011 1000 1101
910,immune,0011 1000 1110
911,impact,0011 1000 1111
912,impose,0011 1001 0000
913,improve,0011 1001 0001
914,impulse,0011 1001 0010
915,inch,0011 1001 0011
916,include,0011 1001 0100
917,income,0011 1001 0101
918,increase,0011 1001 0110
919,index,0011 1001 0111
920,indicate,0011 1001 1000
921,indoor,0011 1001 1001
922,industry,0011 1001 1010
923,infant,0011 1001 1011
924,inflict,0011 1001 1100
925,inform,0011 1001 1101
926,inhale,0011 1001 1110
927,inherit,0011 1001 1111
928,initial,0011 1010 0000
929,inject,0011 1010 0001
930,injury,0011 1010 0010
931,inmate,0011 1010 0011
932,inner,0011 1010 0100
933,innocent,0011 1010 0101
934,input,0011 1010 0110
935,inquiry,0011 1010 0111
936,insane,0011 1010 1000
937,insect,0011 1010 1001
938,inside,0011 1010 1010
939,inspire,0011 1010 1011
940,install,0011 1010 1100
941,intact,0011 1010 1101
942,interest,0011 1010 1110
943,into,0011 1010 1111
944,invest,0011 1011 0000
945,invite,0011 1011 0001
946,involve,0011 1011 0010
947,iron,0011 1011 0011
948,island,0011 1011 0100
949,isolate,0011 1011 0101
950,issue,0011 1011 0110
951,item,0011 1011 0111
952,ivory,0011 1011 1000
953,jacket,0011 1011 1001
954,jaguar,0011 1011 1010
955,jar,0011 1011 1011
956,jazz,0011 1011 1100
957,jealous,0011 1011 1101
958,jeans,0011 1011 1110
959,jelly,0011 1011 1111
960,jewel,0011 1100 0000
961,job,0011 1100 0001
962,join,0011 1100 0010
963,joke,0011 1100 0011
964,journey,0011 1100 0100
965,joy,0011 1100 0101
966,judge,0011 1100 0110
967,juice,0011 1100 0111
968,jump,0011 1100 1000
969,jungle,0011 1100 1001
970,junior,0011 1100 1010
971,junk,0011 1100 1011
972,just,0011 1100 1100
973,kangaroo,0011 1100 1101
974,keen,0011 1100 1110
975,keep,0011 1100 1111
976,ketchup,0011 1101 0000
977,key,0011 1101 0001
978,kick,0011 1101 0010
979,kid,0011 1101 0011
980,kidney,0011 1101 0100
981,kind,0011 1101 0101
982,kingdom,0011 1101 0110
983,kiss,0011 1101 0111
